Date,Open,High,Low,Close,Adj Close,Volume
2015-10-14,0.005379,0.005464,0.005376,0.005418,0.005418,338407
2015-10-15,0.005424,0.005468,0.005390,0.005399,0.005399,440929
2015-10-16,0.005392,0.005441,0.005376,0.005398,0.005398,342598
2015-10-17,0.005400,0.005429,0.005174,0.005203,0.005203,394980
2015-10-18,0.005199,0.005200,0.004967,0.004979,0.004979,242340
2015-10-19,0.004976,0.005083,0.004976,0.005043,0.005043,300024
2015-10-20,0.005042,0.005048,0.004730,0.004731,0.004731,420949
2015-10-21,0.004739,0.004745,0.004636,0.004697,0.004697,243503
2015-10-22,0.004696,0.004726,0.004671,0.004723,0.004723,305170
2015-10-23,0.004726,0.004773,0.004671,0.004677,0.004677,296217
2015-10-24,0.004676,0.004687,0.004631,0.004662,0.004662,189900
2015-10-25,0.004662,0.004737,0.004555,0.004556,0.004556,287103
2015-10-26,0.004560,0.004675,0.004554,0.004675,0.004675,427011
2015-10-27,0.004674,0.004716,0.004628,0.004649,0.004649,357602
2015-10-28,0.004648,0.004688,0.004621,0.004675,0.004675,350369
2015-10-29,0.004670,0.004727,0.004634,0.004634,0.004634,550253
2015-10-30,0.004635,0.004882,0.004622,0.004839,0.004839,997172
2015-10-31,0.004840,0.004887,0.004633,0.004687,0.004687,319312
2015-11-01,0.004685,0.004918,0.004663,0.004901,0.004901,490105
2015-11-02,0.004896,0.005182,0.004892,0.005156,0.005156,572974
2015-11-03,0.005160,0.005546,0.005128,0.005383,0.005383,1030430
2015-11-04,0.005402,0.005860,0.004837,0.004947,0.004947,1354340
2015-11-05,0.004955,0.005041,0.004470,0.004506,0.004506,1181010
2015-11-06,0.004500,0.004646,0.004375,0.004562,0.004562,786513
2015-11-07,0.004566,0.004701,0.004558,0.004694,0.004694,367144
2015-11-08,0.004684,0.004697,0.004596,0.004647,0.004647,312859
2015-11-09,0.004650,0.004723,0.004590,0.004609,0.004609,305337
2015-11-10,0.004606,0.004612,0.004364,0.004406,0.004406,414631
2015-11-11,0.004408,0.004440,0.004173,0.004264,0.004264,446177
2015-11-12,0.004266,0.004580,0.004266,0.004541,0.004541,503812
2015-11-13,0.004536,0.004549,0.004436,0.004477,0.004477,329838
2015-11-14,0.004482,0.004493,0.004316,0.004328,0.004328,144356
2015-11-15,0.004327,0.004327,0.004144,0.004165,0.004165,273892
2015-11-16,0.004163,0.004237,0.004130,0.004234,0.004234,351725
2015-11-17,0.004234,0.004293,0.004228,0.004250,0.004250,243681
2015-11-18,0.004251,0.004288,0.004243,0.004258,0.004258,246794
2015-11-19,0.004259,0.004263,0.004205,0.004222,0.004222,173712
2015-11-20,0.004222,0.004237,0.004167,0.004227,0.004227,312768
2015-11-21,0.004227,0.004268,0.004214,0.004245,0.004245,182628
2015-11-22,0.004249,0.004274,0.004238,0.004267,0.004267,174556
2015-11-23,0.004269,0.004351,0.004237,0.004288,0.004288,314451
2015-11-24,0.004288,0.004288,0.004201,0.004242,0.004242,197940
2015-11-25,0.004242,0.004325,0.004228,0.004318,0.004318,197356
2015-11-26,0.004317,0.004435,0.004227,0.004291,0.004291,400520
2015-11-27,0.004276,0.004304,0.004229,0.004276,0.004276,199790
2015-11-28,0.004275,0.004275,0.004208,0.004238,0.004238,195480
2015-11-29,0.004243,0.004299,0.004234,0.004299,0.004299,197822
2015-11-30,0.004298,0.004322,0.004185,0.004201,0.004201,272695
2015-12-01,0.004202,0.004208,0.004054,0.004090,0.004090,312401
2015-12-02,0.004091,0.004189,0.004041,0.004173,0.004173,328403
2015-12-03,0.004176,0.004304,0.004173,0.004262,0.004262,139104
2015-12-04,0.004262,0.004782,0.004239,0.004754,0.004754,930102
2015-12-05,0.004756,0.005301,0.004756,0.005301,0.005301,716241
2015-12-06,0.005302,0.005368,0.005153,0.005344,0.005344,1002000
2015-12-07,0.005312,0.005560,0.005297,0.005560,0.005560,866871
2015-12-08,0.005561,0.006775,0.005560,0.006775,0.006775,2423870
2015-12-09,0.006796,0.008905,0.006746,0.008523,0.008523,5702470
2015-12-10,0.008527,0.009071,0.008444,0.008444,0.008444,3223520
2015-12-11,0.008445,0.008453,0.007793,0.008441,0.008441,3465490
2015-12-12,0.008454,0.008642,0.008123,0.008536,0.008536,1317990
2015-12-13,0.008532,0.008867,0.008472,0.008779,0.008779,1394050
2015-12-14,0.008774,0.008780,0.007614,0.007614,0.007614,2433140
2015-12-15,0.007600,0.007600,0.006622,0.006684,0.006684,4908540
2015-12-16,0.006689,0.006816,0.006454,0.006755,0.006755,1249850
2015-12-17,0.006754,0.006808,0.006670,0.006694,0.006694,556682
2015-12-18,0.006686,0.006686,0.006367,0.006387,0.006387,833330
2015-12-19,0.006383,0.006401,0.006254,0.006291,0.006291,452403
2015-12-20,0.006292,0.006341,0.006205,0.006235,0.006235,577803
2015-12-21,0.006234,0.006356,0.006158,0.006269,0.006269,512514
2015-12-22,0.006271,0.006278,0.006184,0.006193,0.006193,460222
2015-12-23,0.006188,0.006211,0.006015,0.006021,0.006021,364178
2015-12-24,0.006023,0.006053,0.005955,0.005971,0.005971,332166
2015-12-25,0.005971,0.006514,0.005970,0.006487,0.006487,815998
2015-12-26,0.006491,0.006508,0.006145,0.006174,0.006174,665210
2015-12-27,0.006172,0.006355,0.006132,0.006343,0.006343,465856
2015-12-28,0.006348,0.006442,0.006326,0.006340,0.006340,469583
